Postcode,Dwelling Types,Number of Bedrooms,"First Quartile Weekly Rent for New Bonds
2018,Other,Not Specified,,,,,75,,,,,12,2017
2018,Other,2 Bedrooms,,,,,77,,,,,12,2017
2018,Other,3 Bedrooms,,,,,,,,,,12,2017
2018,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2018,Townhouse,Total,,,,,85,,,,,12,2017
2018,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2018,Townhouse,Not Specified,,,,,,,,,,12,2017
2018,Townhouse,2 Bedrooms,,,,,38,,,,,12,2017
2018,Townhouse,3 Bedrooms,,,,,32,,,,,12,2017
2018,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2018,Flat/Unit,Total,520,620,750,231,1882,0,8.77,7.9399999999999995,35.88,12,2017
2018,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2018,Flat/Unit,1 Bedroom,500,560,592.5,71,412,-1.7500000000000002,8.74,16.39,44.9,12,2017
2018,Flat/Unit,Not Specified,,,,,166,,,,,12,2017
2018,Flat/Unit,2 Bedrooms,575,700,750,129,1138,2.94,12.0,-0.77,40.22,12,2017
2018,Flat/Unit,3 Bedrooms,780,930,1080,,158,9.41,20.0,23.53,50.0,12,2017
2018,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2019,Total,Total,560,660,725,177,1163,6.45,4.760000000000001,59.46,82.47,12,2017
2019,Total,Bedsitter,,,,,,,,,,12,2017
2019,Total,1 Bedroom,527.5,550,572.5,52,257,-2.65,5.7700000000000005,48.57,108.0,12,2017
2019,Total,Not Specified,,,,,117,,,,,12,2017
2019,Total,2 Bedrooms,650,690,710,90,513,2.9899999999999998,7.8100000000000005,91.49000000000001,143.23999999999998,12,2017
2019,Total,3 Bedrooms,735,780,900,,215,-9.3,-8.24,27.779999999999998,21.05,12,2017
2019,Total,4 or more Bedrooms,,,,,54,,,,,12,2017
2019,House,Total,695,750,895,,143,3.09,-14.29,6.25,88.89,12,2017
2019,House,1 Bedroom,,,,,,,,,,12,2017
2019,House,Not Specified,,,,,,,,,,12,2017
2019,House,2 Bedrooms,,,,,35,,,,,12,2017
2019,House,3 Bedrooms,,,,,53,,,,,12,2017
2019,House,4 or more Bedrooms,,,,,35,,,,,12,2017
2019,Other,Total,,,,,121,,,,,12,2017
2019,Other,Bedsitter,,,,,,,,,,12,2017
2019,Other,1 Bedroom,,,,,,,,,,12,2017
2019,Other,Not Specified,,,,,53,,,,,12,2017
2019,Other,2 Bedrooms,,,,,,,,,,12,2017
2019,Other,3 Bedrooms,,,,,,,,,,12,2017
2019,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2019,Townhouse,Total,708.75,775,927.5,,114,-18.42,-8.82,77.78,33.33,12,2017
2019,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2019,Townhouse,Not Specified,,,,,,,,,,12,2017
2019,Townhouse,2 Bedrooms,,,,,,,,,,12,2017
2019,Townhouse,3 Bedrooms,743.75,827.5,950,,71,-12.889999999999999,-2.65,100,50.0,12,2017
2019,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2019,Flat/Unit,Total,550,650,700,139,785,10.17,8.33,71.6,104.41,12,2017
2019,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2019,Flat/Unit,1 Bedroom,527.5,550,572.5,48,233,-2.22,3.7699999999999996,50.0,128.57,12,2017
2019,Flat/Unit,Not Specified,,,,,50,,,,,12,2017
2019,Flat/Unit,2 Bedrooms,650,690,710,78,426,6.15,8.66,90.24,116.67,12,2017
2019,Flat/Unit,3 Bedrooms,,,,,68,,,,,12,2017
2019,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2020,Total,Total,620,720,760,327,2858,0,5.88,-7.89,0.62,12,2017
2020,Total,Bedsitter,,,,,,,,,,12,2017
2020,Total,1 Bedroom,580,610,660,97,730,0,7.02,-14.16,-7.62,12,2017
2020,Total,Not Specified,550,650,750,,256,26.21,15.559999999999999,6.25,21.43,12,2017
2020,Total,2 Bedrooms,690,725,750,164,1447,-3.3300000000000005,2.11,-0.61,-10.38,12,2017
2020,Total,3 Bedrooms,850,900,950,42,349,-5.26,13.209999999999999,-17.65,121.05,12,2017
2020,Total,4 or more Bedrooms,,,,,70,,,,,12,2017
2020,House,Total,700,750,850,,284,-4.760000000000001,7.140000000000001,22.73,17.39,12,2017
2020,House,1 Bedroom,,,,,,,,,,12,2017
2020,House,Not Specified,,,,,,,,,,12,2017
2020,House,2 Bedrooms,,,,,66,,,,,12,2017
2020,House,3 Bedrooms,715,825,910,,140,5.7700000000000005,6.800000000000001,-7.6899999999999995,50.0,12,2017
2020,House,4 or more Bedrooms,,,,,44,,,,,12,2017
2020,Other,Total,585,745,761.25,,200,6.43,34.23,-36.84,0,12,2017
2020,Other,Bedsitter,,,,,,,,,,12,2017
2020,Other,1 Bedroom,,,,,,,,,,12,2017
2020,Other,Not Specified,,,,,105,,,,,12,2017
2020,Other,2 Bedrooms,,,,,53,,,,,12,2017
2020,Other,3 Bedrooms,,,,,,,,,,12,2017
2020,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2020,Townhouse,Total,,,,,258,,,,,12,2017
2020,Townhouse,1 Bedroom,,,,,107,,,,,12,2017
2020,Townhouse,Not Specified,,,,,,,,,,12,2017
2020,Townhouse,2 Bedrooms,,,,,102,,,,,12,2017
2020,Townhouse,3 Bedrooms,,,,,,,,,,12,2017
2020,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2020,Flat/Unit,Total,610,710,760,279,2116,1.43,7.580000000000001,-9.71,24.0,12,2017
2020,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2020,Flat/Unit,1 Bedroom,580,610,650,94,593,0,7.960000000000001,-14.549999999999999,5.62,12,2017
2020,Flat/Unit,Not Specified,525,637.5,775,,126,41.67,41.67,9.09,71.43,12,2017
2020,Flat/Unit,2 Bedrooms,690,725,750,144,1226,-3.9699999999999998,5.07,-5.26,19.009999999999998,12,2017
2020,Flat/Unit,3 Bedrooms,891.25,900,985,,163,-7.22,11.799999999999999,-17.65,250.0,12,2017
2020,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2021,Total,Total,475,722.5,1153.75,318,3346,3.2099999999999995,7.84,-15.43,3.92,12,2017
2021,Total,Bedsitter,338.75,360,390,32,280,-5.88,-5.26,6.67,88.24,12,2017
2021,Total,1 Bedroom,422.5,490,575,87,930,3.16,2.62,-25.64,-7.449999999999999,12,2017
2021,Total,Not Specified,420,795,1150,,500,74.72999999999999,16.91,-10.71,-50.980000000000004,12,2017
2021,Total,2 Bedrooms,630,780,980,81,907,-2.5,0,-25.69,-6.9,12,2017
2021,Total,3 Bedrooms,1025,1250,1350,65,552,4.17,0,-9.719999999999999,58.540000000000006,12,2017
2021,Total,4 or more Bedrooms,1308.75,1500,1800,,177,0,-14.89,40.0,75.0,12,2017
2021,House,Total,992.5,1200,1398.75,66,328,0.04,4.35,3.1300000000000003,175.0,12,2017
2021,House,Bedsitter,,,,,,,,,,12,2017
2021,House,1 Bedroom,,,,,,,,,,12,2017
2021,House,Not Specified,,,,,32,,,,,12,2017
2021,House,2 Bedrooms,798.75,897.5,1125,,80,-3.9600000000000004,-0.27999999999999997,-11.110000000000001,166.67000000000002,12,2017
2021,House,3 Bedrooms,1100,1275,1350,,133,6.25,6.25,-3.45,366.67,12,2017
2021,House,4 or more Bedrooms,1375,1500,1810,,69,-5.96,-9.09,36.36,275.0,12,2017
2021,Other,Total,365,560,950,,520,-13.850000000000001,-21.68,-35.9,-37.5,12,2017
2021,Other,Bedsitter,,,,,66,,,,,12,2017
2021,Other,1 Bedroom,,,,,82,,,,,12,2017
2021,Other,Not Specified,,,,,217,,,,,12,2017
2021,Other,2 Bedrooms,,,,,86,,,,,12,2017
2021,Other,3 Bedrooms,,,,,49,,,,,12,2017
2021,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2021,Townhouse,Total,950,1100,1300,51,635,1.8499999999999999,1.8499999999999999,-21.54,-16.39,12,2017
2021,Townhouse,Bedsitter,,,,,,,,,,12,2017
2021,Townhouse,1 Bedroom,,,,,35,,,,,12,2017
2021,Townhouse,Not Specified,,,,,43,,,,,12,2017
2021,Townhouse,2 Bedrooms,757.5,845,1075,,209,-6.11,-3.4299999999999997,-44.0,-33.33,12,2017
2021,Townhouse,3 Bedrooms,1022.5,1250,1350,,275,4.17,-3.85,-23.330000000000002,4.55,12,2017
2021,Townhouse,4 or more Bedrooms,,,,,72,,,,,12,2017
2021,Flat/Unit,Total,420,550,700,176,1863,4.2700000000000005,2.8000000000000003,-15.379999999999999,-2.76,12,2017
2021,Flat/Unit,Bedsitter,350,370,391.25,,209,-3.9,-2.63,12.0,115.38,12,2017
2021,Flat/Unit,1 Bedroom,425,485,575,77,803,2.11,1.04,-27.36,-11.49,12,2017
2021,Flat/Unit,Not Specified,,,,,208,,,,,12,2017
2021,Flat/Unit,2 Bedrooms,610,670,817.5,48,532,-8.219999999999999,-5.63,-14.29,-5.88,12,2017
2021,Flat/Unit,3 Bedrooms,,,,,95,,,,,12,2017
2021,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2022,Total,Total,630,750,930,277,2553,2.74,1.35,8.63,-1.77,12,2017
2022,Total,Bedsitter,220,390,420,,138,-2.5,-17.89,18.18,18.18,12,2017
2022,Total,1 Bedroom,532.5,640,690,91,685,6.67,1.59,2.25,2.25,12,2017
2022,Total,Not Specified,470,580,717.5,,295,3.5700000000000003,-14.069999999999999,0,-72.72999999999999,12,2017
2022,Total,2 Bedrooms,750,850,912.5,108,961,6.92,-2.86,31.71,33.33,12,2017
2022,Total,3 Bedrooms,1075,1200,1350,33,359,9.09,2.13,-31.25,-2.94,12,2017
2022,Total,4 or more Bedrooms,1100,1400,1600,,115,-8.790000000000001,3.32,70.0,41.67,12,2017
2022,House,Total,885,1100,1395,33,202,0,0,0,57.14,12,2017
2022,House,Bedsitter,,,,,,,,,,12,2017
2022,House,1 Bedroom,,,,,,,,,,12,2017
2022,House,Not Specified,,,,,,,,,,12,2017
2022,House,2 Bedrooms,,,,,41,,,,,12,2017
2022,House,3 Bedrooms,,,,,74,,,,,12,2017
2022,House,4 or more Bedrooms,1100,1395,1690,,61,-15.959999999999999,46.839999999999996,62.5,225.0,12,2017
2022,Other,Total,312.5,715,1050,,386,19.17,5.93,46.150000000000006,-64.81,12,2017
2022,Other,Bedsitter,,,,,40,,,,,12,2017
2022,Other,1 Bedroom,,,,,69,,,,,12,2017
2022,Other,Not Specified,,,,,152,,,,,12,2017
2022,Other,2 Bedrooms,,,,,83,,,,,12,2017
2022,Other,3 Bedrooms,,,,,34,,,,,12,2017
2022,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2022,Townhouse,Total,797.5,905,1262.5,,207,-9.5,-27.6,5.26,17.65,12,2017
2022,Townhouse,Bedsitter,,,,,,,,,,12,2017
2022,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2022,Townhouse,Not Specified,,,,,,,,,,12,2017
2022,Townhouse,2 Bedrooms,785,800,895,,74,-5.88,-7.51,22.220000000000002,175.0,12,2017
2022,Townhouse,3 Bedrooms,,,,,80,,,,,12,2017
2022,Townhouse,4 or more Bedrooms,,,,,35,,,,,12,2017
2022,Flat/Unit,Total,600,700,860,205,1758,0,1.4500000000000002,7.89,7.89,12,2017
2022,Flat/Unit,Bedsitter,347.5,400,422.5,,95,-3.61,-16.23,22.220000000000002,10.0,12,2017
2022,Flat/Unit,1 Bedroom,540,640,686.25,84,600,4.07,1.59,1.2,15.07,12,2017
2022,Flat/Unit,Not Specified,,,,,118,,,,,12,2017
2022,Flat/Unit,2 Bedrooms,740,840,922.5,87,763,6.329999999999999,-2.8899999999999997,33.85,33.85,12,2017
2022,Flat/Unit,3 Bedrooms,1081.25,1172.5,1325,,171,4.22,-2.29,-41.67,0,12,2017
2022,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2023,Total,Total,650,750,1037.5,87,1346,7.140000000000001,2.04,-33.08,-36.03,12,2017
2023,Total,Bedsitter,,,,,,,,,,12,2017
2023,Total,1 Bedroom,,,,,176,,,,,12,2017
2023,Total,Not Specified,,,,,173,,,,,12,2017
2023,Total,2 Bedrooms,650,705,778.75,42,682,3.6799999999999997,0.7100000000000001,-42.47,-26.32,12,2017
2023,Total,3 Bedrooms,939.75,1185,1424.25,,227,4.64,26.740000000000002,-8.33,10.0,12,2017
2023,Total,4 or more Bedrooms,,,,,77,,,,,12,2017
2023,House,Total,1950,2700,3400,,85,80.0,35.0,-15.379999999999999,-42.11,12,2017
2023,House,1 Bedroom,,,,,,,,,,12,2017
2023,House,Not Specified,,,,,,,,,,12,2017
2023,House,2 Bedrooms,,,,,,,,,,12,2017
2023,House,3 Bedrooms,,,,,,,,,,12,2017
2023,House,4 or more Bedrooms,,,,,45,,,,,12,2017
2023,Other,Total,,,,,223,,,,,12,2017
2023,Other,Bedsitter,,,,,,,,,,12,2017
2023,Other,1 Bedroom,,,,,,,,,,12,2017
2023,Other,Not Specified,,,,,78,,,,,12,2017
2023,Other,2 Bedrooms,,,,,94,,,,,12,2017
2023,Other,3 Bedrooms,,,,,,,,,,12,2017
2023,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2023,Townhouse,Total,,,,,40,,,,,12,2017
2023,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2023,Townhouse,Not Specified,,,,,,,,,,12,2017
2023,Townhouse,2 Bedrooms,,,,,,,,,,12,2017
2023,Townhouse,3 Bedrooms,,,,,,,,,,12,2017
2023,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2023,Flat/Unit,Total,650,725,820,67,998,7.41,1.7500000000000002,-34.949999999999996,-28.720000000000002,12,2017
2023,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2023,Flat/Unit,1 Bedroom,,,,,152,,,,,12,2017
2023,Flat/Unit,Not Specified,,,,,81,,,,,12,2017
2023,Flat/Unit,2 Bedrooms,650,710,790,39,570,4.41,1.43,-40.0,-18.75,12,2017
2023,Flat/Unit,3 Bedrooms,920,1050,1350,,171,16.02,15.7,-7.140000000000001,-7.140000000000001,12,2017
2023,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2024,Total,Total,600,700,838.75,128,1679,0,-2.78,-22.89,-12.33,12,2017
2024,Total,Bedsitter,,,,,35,,,,,12,2017
2024,Total,1 Bedroom,500,570,633.75,34,376,-0.8699999999999999,3.64,-24.44,47.83,12,2017
2024,Total,Not Specified,,,,,184,,,,,12,2017
2024,Total,2 Bedrooms,660,722.5,796.25,68,858,2.48,0.35000000000000003,-20.93,-8.110000000000001,12,2017
2024,Total,3 Bedrooms,873.75,990,1170,,169,-5.71,-10.0,0,-15.790000000000001,12,2017
2024,Total,4 or more Bedrooms,,,,,57,,,,,12,2017
2024,House,Total,,,,,124,,,,,12,2017
2024,House,Bedsitter,,,,,,,,,,12,2017
2024,House,1 Bedroom,,,,,,,,,,12,2017
2024,House,Not Specified,,,,,,,,,,12,2017
2024,House,2 Bedrooms,,,,,,,,,,12,2017
2024,House,3 Bedrooms,,,,,39,,,,,12,2017
2024,House,4 or more Bedrooms,,,,,36,,,,,12,2017
2024,Other,Total,,,,,201,,,,,12,2017
2024,Other,Bedsitter,,,,,,,,,,12,2017
2024,Other,1 Bedroom,,,,,,,,,,12,2017
2024,Other,Not Specified,,,,,84,,,,,12,2017
2024,Other,2 Bedrooms,,,,,58,,,,,12,2017
2024,Other,3 Bedrooms,,,,,,,,,,12,2017
2024,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2024,Townhouse,Total,,,,,90,,,,,12,2017
2024,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2024,Townhouse,Not Specified,,,,,,,,,,12,2017
2024,Townhouse,2 Bedrooms,,,,,32,,,,,12,2017
2024,Townhouse,3 Bedrooms,,,,,39,,,,,12,2017
2024,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2024,Flat/Unit,Total,600,680,750,109,1264,3.0300000000000002,-2.86,-12.8,6.859999999999999,12,2017
2024,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2024,Flat/Unit,1 Bedroom,500,577.5,636.25,32,343,0.43,5.0,-23.810000000000002,68.42,12,2017
2024,Flat/Unit,Not Specified,,,,,83,,,,,12,2017
2024,Flat/Unit,2 Bedrooms,655,710,755,63,739,1.43,-1.39,-14.860000000000001,3.2800000000000002,12,2017
2024,Flat/Unit,3 Bedrooms,,,,,70,,,,,12,2017
2024,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2025,Total,Total,680,790,1195,109,1190,6.76,1.94,-14.17,-3.54,12,2017
2025,Total,Bedsitter,,,,,,,,,,12,2017
2025,Total,1 Bedroom,492.5,550,650,,255,4.760000000000001,2.8000000000000003,-20.69,64.29,12,2017
2025,Total,Not Specified,,,,,130,,,,,12,2017
2025,Total,2 Bedrooms,725,770,850,50,521,8.450000000000001,2.67,-23.080000000000002,-20.630000000000003,12,2017
2025,Total,3 Bedrooms,960,1300,1450,,206,4.0,4.0,-10.530000000000001,-26.090000000000003,12,2017
2025,Total,4 or more Bedrooms,1850,2900,3500,,64,56.76,28.89,30.0,225.0,12,2017
2025,House,Total,1192.5,1400,1883.75,,113,19.15,-0.88,10.0,83.33,12,2017
2025,House,1 Bedroom,,,,,,,,,,12,2017
2025,House,Not Specified,,,,,,,,,,12,2017
2025,House,2 Bedrooms,,,,,,,,,,12,2017
2025,House,3 Bedrooms,,,,,47,,,,,12,2017
2025,House,4 or more Bedrooms,,,,,,,,,,12,2017
2025,Other,Total,750,850,2500,,201,28.299999999999997,6.25,-7.140000000000001,0,12,2017
2025,Other,Bedsitter,,,,,,,,,,12,2017
2025,Other,1 Bedroom,,,,,34,,,,,12,2017
2025,Other,Not Specified,,,,,57,,,,,12,2017
2025,Other,2 Bedrooms,,,,,70,,,,,12,2017
2025,Other,3 Bedrooms,,,,,,,,,,12,2017
2025,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2025,Townhouse,Total,790,1000,1324.5,,152,-1.96,-4.760000000000001,-15.379999999999999,10.0,12,2017
2025,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2025,Townhouse,Not Specified,,,,,,,,,,12,2017
2025,Townhouse,2 Bedrooms,,,,,46,,,,,12,2017
2025,Townhouse,3 Bedrooms,,,,,67,,,,,12,2017
2025,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2025,Flat/Unit,Total,565,725,797.5,63,724,7.01,3.5700000000000003,-21.25,-19.23,12,2017
2025,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2025,Flat/Unit,1 Bedroom,485,530,595,,208,6.0,-3.64,-24.0,46.150000000000006,12,2017
2025,Flat/Unit,Not Specified,,,,,52,,,,,12,2017
2025,Flat/Unit,2 Bedrooms,697,750,797.5,35,380,7.140000000000001,3.45,-27.08,-30.0,12,2017
2025,Flat/Unit,3 Bedrooms,,,,,69,,,,,12,2017
2025,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2026,Total,Total,622.5,755,995,635,7780,3.42,0.67,-17.849999999999998,-10.31,12,2017
2026,Total,Bedsitter,400,430,510,,361,0,-4.44,-20.69,-14.81,12,2017
2026,Total,1 Bedroom,540,595,680,162,1701,3.4799999999999995,-0.83,-26.700000000000003,9.46,12,2017
2026,Total,Not Specified,523.75,650,843.75,42,1016,-7.140000000000001,-23.53,-4.55,-70.63000000000001,12,2017
2026,Total,2 Bedrooms,700,797.5,921.25,296,3719,3.5700000000000003,3.5700000000000003,-20.22,1.72,12,2017
2026,Total,3 Bedrooms,1000,1125,1353.75,84,796,-2.17,-6.25,1.2,6.329999999999999,12,2017
2026,Total,4 or more Bedrooms,1571.25,1865,2287.5,,187,9.379999999999999,11.34,12.0,40.0,12,2017
2026,House,Total,795,1100,1675,63,381,14.580000000000002,-14.729999999999999,-7.35,16.669999999999998,12,2017
2026,House,Bedsitter,,,,,,,,,,12,2017
2026,House,1 Bedroom,535,610,677.5,,42,0.41000000000000003,38.64,-8.33,1000,12,2017
2026,House,Not Specified,,,,,38,,,,,12,2017
2026,House,2 Bedrooms,825,935,1125,,87,19.869999999999997,14.719999999999999,33.33,185.71,12,2017
2026,House,3 Bedrooms,1000,1100,1250,,114,0,-20.72,-31.580000000000002,-18.75,12,2017
2026,House,4 or more Bedrooms,1665,2047.5,2475,,93,7.76,-2.5,0,157.14,12,2017
2026,Other,Total,522.5,640,840,43,1105,-4.12,-5.54,2.3800000000000003,-51.13999999999999,12,2017
2026,Other,Bedsitter,,,,,95,,,,,12,2017
2026,Other,1 Bedroom,,,,,163,,,,,12,2017
2026,Other,Not Specified,583.75,637.5,725,,412,-11.459999999999999,-17.21,45.45,-42.86,12,2017
2026,Other,2 Bedrooms,740,800,862.5,,351,6.67,11.110000000000001,0,-62.07,12,2017
2026,Other,3 Bedrooms,,,,,70,,,,,12,2017
2026,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2026,Townhouse,Total,905,1150,1287.5,,287,12.2,9.520000000000001,8.33,-10.34,12,2017
2026,Townhouse,Bedsitter,,,,,,,,,,12,2017
2026,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2026,Townhouse,Not Specified,,,,,,,,,,12,2017
2026,Townhouse,2 Bedrooms,775,900,1122.5,,106,12.5,0,22.220000000000002,57.14,12,2017
2026,Townhouse,3 Bedrooms,1125,1165,1250,,111,1.3,1.7500000000000002,-8.33,10.0,12,2017
2026,Townhouse,4 or more Bedrooms,,,,,36,,,,,12,2017
2026,Flat/Unit,Total,620,750,920,503,6007,4.9,0,-21.279999999999998,-6.329999999999999,12,2017
2026,Flat/Unit,Bedsitter,400,420,490,,255,-10.639999999999999,-8.7,-17.39,-17.39,12,2017
2026,Flat/Unit,1 Bedroom,550,600,700,143,1486,5.26,0,-28.139999999999997,16.259999999999998,12,2017
2026,Flat/Unit,Not Specified,515,700,1000,,546,0.36,-15.659999999999998,-16.669999999999998,-71.91,12,2017
2026,Flat/Unit,2 Bedrooms,700,780,900,254,3175,2.63,1.3,-24.4,2.42,12,2017
2026,Flat/Unit,3 Bedrooms,1000,1150,1375,57,501,-4.17,6.98,21.279999999999998,18.75,12,2017
2026,Flat/Unit,4 or more Bedrooms,,,,,44,,,,,12,2017
2027,Total,Total,640,860,1150,117,1434,14.67,1.18,-19.31,-9.3,12,2017
2027,Total,Bedsitter,,,,,31,,,,,12,2017
2027,Total,1 Bedroom,550,600,640,,329,8.110000000000001,14.29,-14.71,0,12,2017
2027,Total,Not Specified,637.5,697.5,911.25,,214,-12.809999999999999,-7.000000000000001,-20.0,-52.0,12,2017
2027,Total,2 Bedrooms,798.75,897.5,996.25,36,543,11.49,4.97,-45.45,-21.740000000000002,12,2017
2027,Total,3 Bedrooms,1100,1200,1400,,268,2.13,-10.11,81.25,26.090000000000003,12,2017
2027,Total,4 or more Bedrooms,,,,,49,,,,,12,2017
2027,House,Total,,,,,56,,,,,12,2017
2027,House,Bedsitter,,,,,,,,,,12,2017
2027,House,1 Bedroom,,,,,,,,,,12,2017
2027,House,Not Specified,,,,,,,,,,12,2017
2027,House,2 Bedrooms,,,,,,,,,,12,2017
2027,House,3 Bedrooms,,,,,,,,,,12,2017
2027,House,4 or more Bedrooms,,,,,,,,,,12,2017
2027,Other,Total,683.75,850,1100,,287,27.339999999999996,8.97,12.5,-33.33,12,2017
2027,Other,Bedsitter,,,,,,,,,,12,2017
2027,Other,1 Bedroom,,,,,47,,,,,12,2017
2027,Other,Not Specified,,,,,115,,,,,12,2017
2027,Other,2 Bedrooms,,,,,70,,,,,12,2017
2027,Other,3 Bedrooms,,,,,39,,,,,12,2017
2027,Other,4 or more Bedrooms,,,,,,,,,,12,2017
2027,Townhouse,Total,,,,,58,,,,,12,2017
2027,Townhouse,Bedsitter,,,,,,,,,,12,2017
2027,Townhouse,1 Bedroom,,,,,,,,,,12,2017
2027,Townhouse,Not Specified,,,,,,,,,,12,2017
2027,Townhouse,2 Bedrooms,,,,,,,,,,12,2017
2027,Townhouse,3 Bedrooms,,,,,,,,,,12,2017
2027,Townhouse,4 or more Bedrooms,,,,,,,,,,12,2017
2027,Flat/Unit,Total,620,850,1100,83,1033,13.33,0,-26.55,-13.54,12,2017
2027,Flat/Unit,Bedsitter,,,,,,,,,,12,2017
2027,Flat/Unit,1 Bedroom,450,590,640,,272,7.2700000000000005,12.379999999999999,-19.35,13.639999999999999,12,2017
2027,Flat/Unit,Not Specified,,,,,94,,,,,12,2017
2027,Flat/Unit,2 Bedrooms,800,895,995,,438,11.87,0.5599999999999999,-50.849999999999994,-21.62,12,2017
2027,Flat/Unit,3 Bedrooms,1100,1180,1325,,194,4.89,-9.229999999999999,130.0,27.779999999999998,12,2017
2027,Flat/Unit,4 or more Bedrooms,,,,,,,,,,12,2017
2028,Total,Total,680,760,977.5,91,902,1.3299999999999998,0,33.82,-3.19,12,2017
2028,Total,Bedsitter,,,,,,,,,,12,2017
2028,Total,1 Bedroom,480,550,735,,91,6.18,0,275.0,36.36,12,2017
2028,Total,Not Specified,,,,,107,,,,,12,2017
2028,Total,2 Bedrooms,676.25,727.5,827.5,48,502,-3.0,3.93,6.67,-2.04,12,2017
2028,Total,3 Bedrooms,975,1677.5,2150,,159,5.84,19.82,100,20.0,12,2017
2028,Total,4 or more Bedrooms,,,,,36,,,,,12,2017
2028,House,Total,,,,,39,,,,,12,2017
2028,House,1 Bedroom,,,,,,,,,,12,2017
2028,House,Not Specified,,,,,,,,,,12,2017
2028,House,2 Bedrooms,,,,,,,,,,12,2017
2028,House,3 Bedrooms,,,,,,,,,,12,2017
2028,House,4 or more Bedrooms,,,,,,,,,,12,2017
2028,Other,Total,610,760,897.5,,159,11.76,-10.59,57.14,-15.379999999999999,12,2017
2028,Other,Bedsitter,,,,,,,,,,12,2017
2028,Other,1 Bedroom,,,,,,,,,,12,2017
2028,Other,Not Specified,,,,,51,,,,,12,2017
